PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=3.11 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=35.3 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=25.5 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=22.9 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=27.9 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=26.7 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=26.6 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=26.7 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=30.6 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=27.4 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=32.1 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=28.8 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=26.5 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=26.4 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=26.0 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=28.4 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=24.8 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=25.1 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=26.0 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=27.8 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=30.7 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=31.5 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=29.4 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=33.9 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=27.5 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=26.4 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=27.4 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=33.3 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=28.4 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=28.8 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=27.8 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=26.1 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=31.8 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=23.0 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=38.0 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=27.3 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=35.9 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=32.4 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=32.2 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=29.9 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=24.8 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=27.7 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=23.6 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=29.5 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=30.2 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=25.5 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=32.9 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=24.3 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=26.5 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=21.8 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=27.0 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=27.8 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=26.5 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=28.0 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=29.5 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=34.3 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=29.6 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=33.3 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=26.7 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=27.8 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=24.2 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=24.2 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=30.7 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=32.2 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=31.1 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=31.5 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=28.9 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=32.1 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=33.2 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=30.2 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=26.8 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=30.4 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=26.6 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=28.1 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=27.4 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=25.3 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=28.9 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=23.8 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=25.5 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=23.2 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=25.6 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=24.9 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=26.4 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=25.6 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=28.9 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=28.9 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=26.4 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=26.2 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=27.8 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=25.8 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=26.4 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=30.3 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=27.7 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=27.4 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=32.1 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=23.5 ms
