PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=1 ttl=64 time=3.04 ms
64 bytes from 10.0.0.3: icmp_seq=2 ttl=64 time=8.11 ms
64 bytes from 10.0.0.3: icmp_seq=3 ttl=64 time=10.4 ms
64 bytes from 10.0.0.3: icmp_seq=4 ttl=64 time=17.8 ms
64 bytes from 10.0.0.3: icmp_seq=5 ttl=64 time=27.9 ms
64 bytes from 10.0.0.3: icmp_seq=6 ttl=64 time=29.8 ms
64 bytes from 10.0.0.3: icmp_seq=7 ttl=64 time=33.3 ms
64 bytes from 10.0.0.3: icmp_seq=8 ttl=64 time=36.6 ms
64 bytes from 10.0.0.3: icmp_seq=9 ttl=64 time=38.8 ms
64 bytes from 10.0.0.3: icmp_seq=10 ttl=64 time=41.7 ms
64 bytes from 10.0.0.3: icmp_seq=11 ttl=64 time=45.2 ms
64 bytes from 10.0.0.3: icmp_seq=12 ttl=64 time=49.3 ms
64 bytes from 10.0.0.3: icmp_seq=13 ttl=64 time=51.9 ms
64 bytes from 10.0.0.3: icmp_seq=14 ttl=64 time=54.7 ms
64 bytes from 10.0.0.3: icmp_seq=15 ttl=64 time=57.9 ms
64 bytes from 10.0.0.3: icmp_seq=16 ttl=64 time=61.3 ms
64 bytes from 10.0.0.3: icmp_seq=17 ttl=64 time=63.8 ms
64 bytes from 10.0.0.3: icmp_seq=18 ttl=64 time=67.0 ms
64 bytes from 10.0.0.3: icmp_seq=19 ttl=64 time=69.8 ms
64 bytes from 10.0.0.3: icmp_seq=20 ttl=64 time=77.1 ms
64 bytes from 10.0.0.3: icmp_seq=21 ttl=64 time=83.6 ms
64 bytes from 10.0.0.3: icmp_seq=22 ttl=64 time=86.9 ms
64 bytes from 10.0.0.3: icmp_seq=23 ttl=64 time=90.0 ms
64 bytes from 10.0.0.3: icmp_seq=24 ttl=64 time=91.7 ms
64 bytes from 10.0.0.3: icmp_seq=25 ttl=64 time=104 ms
64 bytes from 10.0.0.3: icmp_seq=26 ttl=64 time=106 ms
64 bytes from 10.0.0.3: icmp_seq=27 ttl=64 time=111 ms
64 bytes from 10.0.0.3: icmp_seq=28 ttl=64 time=114 ms
