PING 10.0.0.3 (10.0.0.3) 56(84) bytes of data.
64 bytes from 10.0.0.3: icmp_seq=1 ttl=64 time=2.61 ms
64 bytes from 10.0.0.3: icmp_seq=2 ttl=64 time=0.770 ms
64 bytes from 10.0.0.3: icmp_seq=3 ttl=64 time=0.186 ms
64 bytes from 10.0.0.3: icmp_seq=4 ttl=64 time=1.44 ms
64 bytes from 10.0.0.3: icmp_seq=5 ttl=64 time=0.251 ms
64 bytes from 10.0.0.3: icmp_seq=6 ttl=64 time=1.13 ms
64 bytes from 10.0.0.3: icmp_seq=7 ttl=64 time=1.25 ms
64 bytes from 10.0.0.3: icmp_seq=8 ttl=64 time=1.60 ms
64 bytes from 10.0.0.3: icmp_seq=9 ttl=64 time=0.256 ms
64 bytes from 10.0.0.3: icmp_seq=10 ttl=64 time=1.73 ms
64 bytes from 10.0.0.3: icmp_seq=11 ttl=64 time=1.33 ms
64 bytes from 10.0.0.3: icmp_seq=12 ttl=64 time=0.476 ms
64 bytes from 10.0.0.3: icmp_seq=13 ttl=64 time=0.148 ms
64 bytes from 10.0.0.3: icmp_seq=14 ttl=64 time=1.44 ms
64 bytes from 10.0.0.3: icmp_seq=15 ttl=64 time=1.29 ms
64 bytes from 10.0.0.3: icmp_seq=16 ttl=64 time=0.223 ms
64 bytes from 10.0.0.3: icmp_seq=17 ttl=64 time=1.03 ms
64 bytes from 10.0.0.3: icmp_seq=18 ttl=64 time=1.32 ms
64 bytes from 10.0.0.3: icmp_seq=19 ttl=64 time=0.539 ms
64 bytes from 10.0.0.3: icmp_seq=20 ttl=64 time=0.578 ms
64 bytes from 10.0.0.3: icmp_seq=21 ttl=64 time=1.07 ms
64 bytes from 10.0.0.3: icmp_seq=22 ttl=64 time=0.400 ms
64 bytes from 10.0.0.3: icmp_seq=23 ttl=64 time=1.40 ms
64 bytes from 10.0.0.3: icmp_seq=24 ttl=64 time=1.17 ms
64 bytes from 10.0.0.3: icmp_seq=25 ttl=64 time=0.281 ms
64 bytes from 10.0.0.3: icmp_seq=26 ttl=64 time=0.787 ms
64 bytes from 10.0.0.3: icmp_seq=27 ttl=64 time=1.37 ms
64 bytes from 10.0.0.3: icmp_seq=28 ttl=64 time=1.36 ms
64 bytes from 10.0.0.3: icmp_seq=29 ttl=64 time=1.44 ms
64 bytes from 10.0.0.3: icmp_seq=30 ttl=64 time=1.48 ms
64 bytes from 10.0.0.3: icmp_seq=31 ttl=64 time=2.37 ms
64 bytes from 10.0.0.3: icmp_seq=32 ttl=64 time=0.245 ms
64 bytes from 10.0.0.3: icmp_seq=33 ttl=64 time=1.27 ms
64 bytes from 10.0.0.3: icmp_seq=34 ttl=64 time=0.818 ms
64 bytes from 10.0.0.3: icmp_seq=35 ttl=64 time=0.702 ms
64 bytes from 10.0.0.3: icmp_seq=36 ttl=64 time=0.467 ms
64 bytes from 10.0.0.3: icmp_seq=37 ttl=64 time=1.26 ms
64 bytes from 10.0.0.3: icmp_seq=38 ttl=64 time=0.141 ms
64 bytes from 10.0.0.3: icmp_seq=39 ttl=64 time=0.895 ms
64 bytes from 10.0.0.3: icmp_seq=40 ttl=64 time=0.317 ms
64 bytes from 10.0.0.3: icmp_seq=41 ttl=64 time=0.786 ms
64 bytes from 10.0.0.3: icmp_seq=42 ttl=64 time=0.596 ms
64 bytes from 10.0.0.3: icmp_seq=43 ttl=64 time=0.161 ms
64 bytes from 10.0.0.3: icmp_seq=44 ttl=64 time=0.279 ms
64 bytes from 10.0.0.3: icmp_seq=45 ttl=64 time=1.49 ms
64 bytes from 10.0.0.3: icmp_seq=46 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=47 ttl=64 time=1.26 ms
64 bytes from 10.0.0.3: icmp_seq=48 ttl=64 time=1.31 ms
64 bytes from 10.0.0.3: icmp_seq=49 ttl=64 time=1.26 ms
64 bytes from 10.0.0.3: icmp_seq=50 ttl=64 time=1.33 ms
64 bytes from 10.0.0.3: icmp_seq=51 ttl=64 time=0.445 ms
64 bytes from 10.0.0.3: icmp_seq=52 ttl=64 time=1.27 ms
64 bytes from 10.0.0.3: icmp_seq=53 ttl=64 time=1.54 ms
64 bytes from 10.0.0.3: icmp_seq=54 ttl=64 time=0.488 ms
