PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=1.08 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=32.6 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=39.8 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=39.4 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=29.9 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=31.7 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=34.8 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=27.6 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=34.5 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=26.8 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=27.8 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=33.3 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=31.5 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=29.4 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=35.5 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=29.8 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=30.8 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=30.4 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=31.7 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=32.5 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=30.4 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=32.2 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=35.1 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=26.8 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=35.3 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=37.9 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=32.2 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=30.7 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=26.7 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=32.6 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=33.8 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=32.3 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=32.5 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=32.2 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=27.5 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=34.8 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=29.9 ms
